seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
7,4,-0.9994901113454412,-0.9698239804203803,149,227,cobyla
42,4,-0.9988650769396095,-0.9547229662714376,169,227,cobyla
123,4,-0.9999291195593827,-0.7887955420429036,155,227,cobyla
456,4,-0.9998198944690484,-0.9576595303118887,156,227,cobyla
789,4,-0.9998765750491556,-0.9283089378441864,147,227,cobyla
7,8,-0.9970322416919154,-0.9766260295684887,286,227,cobyla
42,8,-0.9983614325259403,-0.46712379021673756,300,227,cobyla
123,8,-0.9994587618503078,-0.983714830668796,300,227,cobyla
456,8,-0.9980713864648177,-0.9565889740055658,286,227,cobyla
789,8,-0.9983940619182633,-0.9428687416429393,269,227,cobyla
7,12,-0.9855191129329445,-0.805554076130356,300,227,cobyla
42,12,-0.3989681303091918,-0.9040271892055767,300,227,qnspsa
123,12,-0.9620506873135373,-0.9740491145342821,300,227,qnspsa
456,12,-0.40775018068234387,-0.8165786903715582,300,227,qnspsa
789,12,-0.3782911283878086,-0.7872724810720306,300,227,qnspsa
7,16,-0.9539089125260677,-0.858035020944516,300,227,cobyla
42,16,-0.547654925152409,-0.9720676611643855,300,227,qnspsa
123,16,-0.44018248070794264,-0.9400275468543356,300,227,qnspsa
456,16,-0.8562341181150925,-0.7801970292419974,300,227,cobyla
789,16,-0.9891069707655024,-0.7962499449478723,300,227,cobyla
