seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-0.9999999711991134,-0.7751261399389979,194,300,cobyla
20,4,-0.9999999584839192,-0.910810550794011,213,300,cobyla
30,4,-0.9999999861540636,-0.8424139422860722,227,300,cobyla
40,4,-0.9999994857657654,-0.932037904639316,212,300,cobyla
50,4,-0.999652250924749,-0.9635767583931037,230,300,cobyla
10,8,-0.9990802266342304,-0.887656022994712,593,711,cobyla
20,8,-0.9998142163825098,-0.873145235050085,413,711,cobyla
30,8,-0.9998695330830311,-0.9687738323925783,584,711,cobyla
40,8,-0.9999769544615535,-0.9377506438558737,592,711,cobyla
50,8,-0.9996051331421255,-0.9021917264300205,579,711,cobyla
10,12,-0.9997554085704564,-0.9847319850084758,1377,1284,cobyla
20,12,-0.9998230721310918,-0.9372274124802197,1490,1284,cobyla
30,12,-0.9995239390561188,-0.9332030377909972,1389,1284,cobyla
40,12,-0.9997690706890416,-0.9804357990670675,1275,1284,cobyla
50,12,-0.9999878406683059,-0.921493209059496,1362,1284,cobyla
10,16,-0.999070145924784,-0.9734047823039048,1243,1692,cobyla
20,16,-0.9999990739441939,-0.9778777002041894,1677,1692,cobyla
30,16,-0.9998001433307441,-0.9143477091996631,1702,1692,cobyla
40,16,-0.9999212440508185,-0.9856221199653129,1861,1692,cobyla
50,16,-0.9999968398385751,-0.9719059073668411,1556,1692,cobyla
20,20,-0.9996643750178011,-0.9159727527629694,1995,2100,cobyla
30,20,-0.9999951071272233,-0.9172354971558883,2019,2100,cobyla
40,20,-0.9999991552859553,-0.9749481059846452,1882,2100,cobyla
