seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-0.9999999966306607,-0.9911107082779375,177,240,cobyla
20,4,-0.9999999953423206,-0.9911114255267263,173,240,cobyla
30,4,-0.9999999984850341,-0.993051198541999,200,240,cobyla
40,4,-0.9999999995256559,-0.9995522939980812,161,240,cobyla
50,4,-0.9999999970798689,-0.9911114211378369,167,240,cobyla
10,8,-0.9999999998679412,-0.9927785012506228,462,537,cobyla
20,8,-0.9999999999056806,-0.9927784987122589,343,537,cobyla
30,8,-0.9999997855027121,-0.9927784981946349,319,537,cobyla
40,8,-0.9999996249524249,-0.9927784990523928,341,537,cobyla
50,8,-0.9999999997740951,-0.9927785006324515,323,537,cobyla
10,16,0.4238009623388358,-0.993922424204448,101,1161,qnspsa
20,16,0.46391284632697294,-0.9939224209550053,101,1161,qnspsa
30,16,0.642074828050303,-0.9939224245024958,101,1161,qnspsa
40,16,0.5903973773810052,-0.9939224153664485,101,1161,qnspsa
50,16,0.6645052345255018,-0.9939224229795611,101,1161,qnspsa
