seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-0.9999999965431682,-0.9805072679154556,243,300,cobyla
20,4,-0.9999999980652428,-0.9927645650026089,253,300,cobyla
30,4,-0.999999998364927,-0.8899523804543401,263,300,cobyla
40,4,-0.9999999973204328,-0.9611056676109375,300,300,cobyla
50,4,-0.9999965389654206,-0.9903966081024034,900,300,cobyla
10,8,-0.9999810112820711,-0.9753264561752529,2400,711,cobyla
20,8,-0.9999966060286787,-0.9878212585611722,2400,711,cobyla
30,8,-0.9999999980588978,-0.9715282849815312,1531,711,cobyla
40,8,-0.9999999983725795,-0.8646729023431029,1067,711,cobyla
50,8,-0.9999999759739334,-0.9585131496360018,2400,711,cobyla
10,12,-0.9999999104306387,-0.9703351742016634,4500,1284,cobyla
20,12,-0.999994788451702,-0.9611600770394487,4500,1284,cobyla
30,12,-0.9999810482305821,-0.9629171811258537,4500,1284,cobyla
40,12,-0.9999988840826887,-0.9832277942410391,4500,1284,cobyla
50,12,-0.9999999987885339,-0.9867233072282312,2422,1284,cobyla
10,16,-0.9999963628548917,-0.9533089754888537,6000,1692,cobyla
20,16,-0.9999999991170935,-0.9779075609200922,2340,1692,cobyla
30,16,-0.9999999968446532,-0.9119396977125114,6000,1692,cobyla
40,16,-0.9999999537206621,-0.9668470706706083,6000,1692,cobyla
50,16,-0.9999999998929348,-0.9589534210629643,2271,1692,cobyla
