seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-1.0,-1.0,146,240,qnspsa
20,4,-1.0,-0.9797979797979798,128,240,cobyla
30,4,-1.0,-0.9797979797979798,168,240,cobyla
40,4,-0.9595959595959596,-1.0,161,240,qnspsa
50,4,-0.8787878787878788,-1.0,131,240,qnspsa
10,8,-1.0,-1.0,394,537,qnspsa
20,8,-1.0,-1.0,418,537,qnspsa
30,8,0.6363636363636364,-1.0,354,537,qnspsa
40,8,-0.9595959595959596,-0.9797979797979798,407,537,qnspsa
50,8,-0.9797979797979798,-0.9797979797979798,404,537,qnspsa
10,16,-1.0,-0.9797979797979798,560,1161,cobyla
20,16,0.47474747474747475,-1.0,759,1161,qnspsa
30,16,-0.9393939393939394,-1.0,963,1161,qnspsa
40,16,-1.0,-1.0,554,1161,qnspsa
50,16,0.7373737373737373,-1.0,821,1161,qnspsa
