seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-0.898989898989899,-0.13131313131313133,479,628,cobyla
20,4,-0.6161616161616161,-0.43434343434343436,409,628,cobyla
30,4,-0.7575757575757576,-0.6363636363636364,427,628,cobyla
40,4,-0.494949494949495,-0.050505050505050504,398,628,cobyla
50,4,-0.7373737373737373,-0.09090909090909091,392,628,cobyla
10,8,0.13131313131313133,-0.21212121212121213,841,1200,qnspsa
20,8,0.030303030303030304,-0.010101010101010102,850,1200,qnspsa
30,8,0.0707070707070707,-0.15151515151515152,773,1200,qnspsa
40,8,-0.09090909090909091,-0.31313131313131315,847,1200,qnspsa
50,8,-0.0707070707070707,-0.3333333333333333,890,1200,qnspsa
10,16,-0.47474747474747475,-0.45454545454545453,1761,2346,cobyla
20,16,-0.8585858585858586,-0.6363636363636364,2133,2346,cobyla
30,16,0.050505050505050504,-0.35353535353535354,2010,2346,qnspsa
40,16,0.050505050505050504,-0.7373737373737373,2008,2346,qnspsa
50,16,-0.5151515151515151,-0.3939393939393939,1961,2346,cobyla
