seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-0.9999999923048021,-0.645083260906144,1348,628,cobyla
20,4,-0.9999938282132721,-0.25758521959176117,2100,628,cobyla
30,4,-0.9999999950508541,-0.5718902030333846,863,628,cobyla
40,4,-0.9999999951356955,-0.9234695961813987,1144,628,cobyla
50,4,-0.9999583376307176,-0.37378239366492527,2100,628,cobyla
10,8,-0.9999995699691828,-0.5950203875728322,4200,1200,cobyla
20,8,-0.9989211214485693,-0.5006402973208035,4200,1200,cobyla
30,8,-0.9997688415087939,-0.5622925180898831,4200,1200,cobyla
40,8,-0.9999461883373376,-0.7560454646926981,4200,1200,cobyla
50,8,-0.9998723461835319,-0.6126967997444658,4200,1200,cobyla
10,16,-0.9999999963297729,-0.755272413133804,8400,2346,cobyla
20,16,-0.9999891617918392,-0.6650465944329292,8400,2346,cobyla
30,16,-0.9997273502039628,-0.7690192925310174,8400,2346,cobyla
40,16,-0.9999879437373888,-0.6208820567187944,8400,2346,cobyla
50,16,-0.9999999975888282,-0.8445073643744878,8400,2346,cobyla
