seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-0.9538707889388434,0.9081934846989141,32,32,cobyla
20,4,-0.3450825733300468,0.8793050335777216,32,32,cobyla
30,4,-0.6263695678936354,0.9505538709078533,32,32,cobyla
40,4,-0.8946619657326653,0.9681970053211236,32,32,cobyla
50,4,-0.8064078866296981,0.9482503696402168,32,32,cobyla
10,8,-0.7356095155922593,0.9817039364257993,64,64,cobyla
20,8,-0.3766561903001171,0.9884093711467324,64,64,cobyla
30,8,-0.6200024603272235,0.9874714559032278,64,64,cobyla
40,8,-0.12083694441005324,0.9835497835497835,64,64,cobyla
50,8,-0.40074028377544724,0.939435056124337,64,64,cobyla
10,12,-0.793437365077407,0.08886694643297952,128,90,cobyla
20,12,-0.8142443472367692,0.9546351084812623,128,90,cobyla
30,12,-0.5184500708433438,0.8431991092967155,128,90,cobyla
40,12,-0.40160741885625967,0.8027750247770069,128,90,cobyla
50,12,-0.8124229726398817,0.23088307844104589,128,90,cobyla
10,16,-0.9339901477832512,-0.4278233010905058,256,126,cobyla
20,16,-0.8752541119940861,-0.4198595540224221,256,126,cobyla
50,16,-0.7689937765728018,-0.5818899093879061,256,126,cobyla
10,20,-0.5505631885134299,0.942109830172307,512,21,cobyla
30,20,-0.7793724759242001,-0.7639468927257994,512,195,cobyla
