seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-0.9382260741287111,0.9440688383527965,32,32,cobyla
20,4,-0.9317525646538485,0.9807372761400701,32,32,cobyla
30,4,-0.9725007689941556,0.9755377996312231,32,32,cobyla
40,4,-0.8994956329191782,0.9681434469160145,32,32,cobyla
50,4,-0.8150609080841639,0.9929811599556705,32,32,cobyla
10,8,-0.8990757855822551,0.9767384615384616,64,64,cobyla
20,8,-0.6371289866650279,0.9801943658506581,64,64,cobyla
30,8,-0.9527214448622326,0.9708330764013072,64,64,cobyla
40,8,-0.9363439529848439,0.9834889617216004,64,64,cobyla
50,8,-0.9164866366273687,0.9144550055548698,64,64,cobyla
10,16,-0.826295764984719,-0.9203893186922885,256,126,qnspsa
20,16,-0.9428076256499134,-0.9462848586936178,256,126,qnspsa
30,16,-0.904365379762806,-0.9244937866649845,256,126,qnspsa
40,16,-0.9193934557063048,-0.8660884542043428,256,126,cobyla
50,16,-0.7517372855297952,-0.5269107888916196,256,126,cobyla
30,32,-0.8693710457759584,,617,,cobyla
40,32,0.5883736767163994,,227,,cobyla
50,32,0.6373165618448637,,200,,cobyla
