seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-0.5712526931363496,0.5543773119605425,32,32,cobyla
20,4,-0.5046510195281217,0.7620454125899945,32,32,cobyla
30,4,-0.6461462693917754,0.7907062511524986,32,32,cobyla
40,4,-0.587192118226601,0.7424913835548991,32,32,cobyla
50,4,-0.618947887150425,0.7208715455160952,32,32,cobyla
10,8,0.02363076923076923,0.9205938520298158,64,64,cobyla
20,8,-0.30702995264161387,0.9256443537919525,64,64,cobyla
30,8,-0.08308091735179576,0.9052501544163064,64,64,cobyla
40,8,-0.007870626575662548,0.9164866366273687,64,64,cobyla
50,8,-0.5142150803461063,0.8223331484562766,64,64,cobyla
10,16,0.07701802024191558,,108,,cobyla
20,16,-0.21950315164998146,-0.13257482067771456,256,126,cobyla
30,16,-0.46431217584588785,-0.11816838995568685,256,126,cobyla
40,16,-0.189500956140892,-0.4099279423538831,256,126,qnspsa
50,16,-0.1163923309290426,-0.04534812076401725,256,126,cobyla
10,32,0.0694745983499783,,1198,,cobyla
20,32,-0.5336308970305623,,1213,,cobyla
30,32,-0.568093863259414,,1120,,cobyla
40,32,0.059233664465971496,,28,,cobyla
50,32,-0.47899470247628434,,1136,,cobyla
