seed,qubits,nft_final_cost,nft_evals,best_optimizer
10,4,-0.9999999999987008,900,nft
20,4,-1.0000000000000007,900,nft
30,4,-1.000000000000001,900,nft
40,4,-1.0000000000000004,900,nft
50,4,-1.0,900,nft
10,8,-0.9999999999999999,2400,nft
20,8,-0.999999385995563,2400,nft
30,8,-0.9999999999999993,2400,nft
40,8,-1.000000000000001,2400,nft
50,8,-0.9999999999999996,2400,nft
10,12,-0.9999999999999998,4500,nft
20,12,-1.0,4500,nft
30,12,-1.0000000000000009,4500,nft
40,12,-0.9999999971672822,4500,nft
50,12,-1.0000000000000007,4500,nft
10,16,-0.9999997095801328,6000,nft
20,16,-0.9999999999999918,6000,nft
30,16,-0.9999999999999964,6000,nft
40,16,-0.9999999999999981,6000,nft
50,16,-1.0000000000000004,6000,nft
10,20,-0.9999999988671234,7500,nft
20,20,-0.9999999999999988,7500,nft
30,20,-0.9999999999999993,7500,nft
40,20,-0.999999999999999,7500,nft
50,20,-0.999999999999996,7500,nft
