phase,mode,architecture,qubits,optimizer,n,final_mean,final_std,best_mean,best_std,evals_mean,evals_std
phase2,ideal,baseline,4,cobyla,5,-0.9999993058518383,1.3834433529427005e-06,-0.9999993074087488,1.3842217386247672e-06,391.8,254.82966860238233
phase2,ideal,baseline,4,qnspsa,5,-0.9629452978171491,0.03816421399693285,-0.9860902124615079,0.013842967886777847,300.0,0.0
phase2,ideal,baseline,8,cobyla,5,-0.9999955179432322,7.3708462096176785e-06,-0.999995522609812,7.3629810613738036e-06,1959.6,558.9792840526383
phase2,ideal,baseline,8,qnspsa,5,-0.9515724103394122,0.04444360240955098,-0.9939243825277956,0.006623353245240345,711.0,0.0
phase2,ideal,baseline,16,cobyla,5,-0.999999262486047,1.4499201984423688e-06,-0.9999992627144607,1.4500358575526685e-06,4522.2,1810.0594907350421
phase2,ideal,baseline,16,qnspsa,5,-0.9537913451710059,0.022496595001875976,-0.9930472154070115,0.013756347593908608,1692.0,0.0
phase2,ideal,qcnn,4,cobyla,5,-0.9999999974127081,1.4576224156592591e-09,-0.9999999999594451,8.11004819770074e-11,175.6,13.35065541462291
phase2,ideal,qcnn,4,qnspsa,5,-0.9913122657261034,0.0005088226324485511,-0.9999910510347995,1.7534985538553587e-05,240.0,0.0
phase2,ideal,qcnn,8,cobyla,5,-0.9999999963527786,8.068341645973562e-10,-0.9999999999999997,1.2192250687530355e-15,506.8,59.40505029035831
phase2,ideal,qcnn,8,qnspsa,5,-0.9927784998325739,8.447792482339226e-10,-1.000000000000001,2.220446049250313e-16,537.0,0.0
phase2,ideal,qcnn,16,cobyla,5,-0.9999999975154668,1.1829317115714477e-09,-1.000000000000005,1.1833123453963015e-15,1200.2,71.14885803721658
phase2,ideal,qcnn,16,qnspsa,5,-0.9939224234391327,1.7983068919838326e-09,-1.0000000000000095,3.7155169009665004e-16,1161.0,0.0
phase2,ideal,resqnet,4,cobyla,5,-0.9999904296670683,1.622274767656847e-05,-0.999990479832743,1.612899955504841e-05,1511.0,504.976039035517
phase2,ideal,resqnet,4,qnspsa,5,-0.5543621346755228,0.23041851238748617,-0.8952545960464745,0.03822055098920294,628.0,0.0
phase2,ideal,resqnet,8,cobyla,5,-0.9997016134894832,0.00039785223521442793,-0.9997016311063242,0.0003978630937159198,4200.0,0.0
phase2,ideal,resqnet,8,qnspsa,5,-0.6053390934841365,0.08448416115127655,-0.760516712746978,0.04012163947586777,1200.0,0.0
phase2,ideal,resqnet,16,cobyla,5,-0.9999408899303583,0.00010689315212633679,-0.9999412073712962,0.00010626750155903328,8400.0,0.0
phase2,ideal,resqnet,16,qnspsa,5,-0.7309455442382065,0.07923930429069562,-0.8622051398982068,0.0735197154585592,2346.0,0.0
phase2,shot-noise,baseline,4,cobyla,5,-0.9191919191919192,0.055693126271071605,-0.9838383838383837,0.02355940159533453,207.0,19.51409746824075
phase2,shot-noise,baseline,4,qnspsa,5,-0.8707070707070708,0.08627942021843486,-0.9959595959595958,0.008080808080808088,300.0,0.0
phase2,shot-noise,baseline,8,cobyla,5,-0.8787878787878787,0.13701676733586401,-0.9717171717171716,0.056565656565656576,527.2,20.350921355064
phase2,shot-noise,baseline,8,qnspsa,5,-0.9515151515151515,0.02740335346717278,-1.0,0.0,711.0,0.0
phase2,shot-noise,baseline,16,cobyla,5,-0.8626262626262626,0.07708599607409661,-0.9878787878787879,0.016161616161616175,1418.4,34.90329497339757
phase2,shot-noise,baseline,16,qnspsa,5,-0.78989898989899,0.11890051692575483,-0.983838383838384,0.03232323232323231,1692.0,0.0
phase2,shot-noise,qcnn,4,cobyla,5,-0.9676767676767677,0.0471188031906691,-1.0,0.0,146.8,15.84171707865028
phase2,shot-noise,qcnn,4,qnspsa,5,-0.9919191919191919,0.009896928253669416,-1.0,0.0,240.0,0.0
