phase,mode,architecture,seed,qubits,optimizer,final,best,evals
phase2,ideal,baseline,10,16,cobyla,-0.9999963628548917,-0.9999963628548917,6000
phase2,ideal,baseline,10,16,qnspsa,-0.9533089754888537,-0.9999627738017479,1692
phase2,ideal,baseline,10,4,cobyla,-0.9999999965431682,-0.999999999923726,243
phase2,ideal,baseline,10,4,qnspsa,-0.9805072679154556,-0.999192265141531,300
phase2,ideal,baseline,10,8,cobyla,-0.9999810112820711,-0.999981032053046,2400
phase2,ideal,baseline,10,8,qnspsa,-0.9753264561752529,-0.9975584090194944,711
phase2,ideal,baseline,20,16,cobyla,-0.9999999991170935,-0.9999999999781141,2340
phase2,ideal,baseline,20,16,qnspsa,-0.9779075609200922,-0.9997843592548075,1692
phase2,ideal,baseline,20,4,cobyla,-0.9999999980652428,-0.9999999997020976,253
phase2,ideal,baseline,20,4,qnspsa,-0.9927645650026089,-0.9927645650026089,300
phase2,ideal,baseline,20,8,cobyla,-0.9999966060286787,-0.9999966060286787,2400
phase2,ideal,baseline,20,8,qnspsa,-0.9878212585611722,-0.9889487967639233,711
phase2,ideal,baseline,30,16,cobyla,-0.9999999968446532,-0.9999999969790244,6000
phase2,ideal,baseline,30,16,qnspsa,-0.9119396977125114,-0.9655349099238181,1692
phase2,ideal,baseline,30,4,cobyla,-0.999999998364927,-0.9999999998023329,263
phase2,ideal,baseline,30,4,qnspsa,-0.8899523804543401,-0.9814783903456119,300
phase2,ideal,baseline,30,8,cobyla,-0.9999999980588978,-0.9999999985103406,1531
phase2,ideal,baseline,30,8,qnspsa,-0.9715282849815312,-0.9999841012748825,711
phase2,ideal,baseline,40,16,cobyla,-0.9999999537206621,-0.9999999537819627,6000
phase2,ideal,baseline,40,16,qnspsa,-0.9668470706706083,-0.9999673606707982,1692
phase2,ideal,baseline,40,4,cobyla,-0.9999999973204328,-0.9999999986501663,300
phase2,ideal,baseline,40,4,qnspsa,-0.9611056676109375,-0.9611056676109375,300
phase2,ideal,baseline,40,8,cobyla,-0.9999999983725795,-0.9999999990149667,1067
phase2,ideal,baseline,40,8,qnspsa,-0.8646729023431029,-0.9833942951073474,711
phase2,ideal,baseline,50,16,cobyla,-0.9999999998929348,-0.9999999999783107,2271
phase2,ideal,baseline,50,16,qnspsa,-0.9589534210629643,-0.999986673383886,1692
phase2,ideal,baseline,50,4,cobyla,-0.9999965389654206,-0.9999965389654206,900
phase2,ideal,baseline,50,4,qnspsa,-0.9903966081024034,-0.9959101742068499,300
phase2,ideal,baseline,50,8,cobyla,-0.9999999759739334,-0.9999999774420277,2400
phase2,ideal,baseline,50,8,qnspsa,-0.9585131496360018,-0.9997363104733301,711
phase2,shot-noise,baseline,10,16,cobyla,-0.7777777777777778,-0.9797979797979798,1462
phase2,shot-noise,baseline,10,16,qnspsa,-0.9595959595959596,-1.0,1692
phase2,shot-noise,baseline,10,4,cobyla,-0.9797979797979798,-1.0,183
phase2,shot-noise,baseline,10,4,qnspsa,-0.8383838383838383,-1.0,300
phase2,shot-noise,baseline,10,8,cobyla,-0.9595959595959596,-1.0,493
phase2,shot-noise,baseline,10,8,qnspsa,-0.9393939393939394,-1.0,711
phase2,shot-noise,baseline,20,16,cobyla,-0.8585858585858586,-1.0,1417
phase2,shot-noise,baseline,20,16,qnspsa,-0.7575757575757576,-1.0,1692
phase2,shot-noise,baseline,20,4,cobyla,-0.9797979797979798,-1.0,213
phase2,shot-noise,baseline,20,4,qnspsa,-0.9191919191919192,-1.0,300
phase2,shot-noise,baseline,20,8,cobyla,-1.0,-1.0,535
phase2,shot-noise,baseline,20,8,qnspsa,-0.9393939393939394,-1.0,711
phase2,shot-noise,baseline,30,16,cobyla,-0.9595959595959596,-1.0,1411
phase2,shot-noise,baseline,30,16,qnspsa,-0.8787878787878788,-1.0,1692
phase2,shot-noise,baseline,30,4,cobyla,-0.9191919191919192,-1.0,241
phase2,shot-noise,baseline,30,4,qnspsa,-0.7171717171717171,-0.9797979797979798,300
phase2,shot-noise,baseline,30,8,cobyla,-0.9393939393939394,-1.0,548
phase2,shot-noise,baseline,30,8,qnspsa,-0.9191919191919192,-1.0,711
phase2,shot-noise,baseline,40,16,cobyla,-0.9393939393939394,-1.0,1443
phase2,shot-noise,baseline,40,16,qnspsa,-0.7373737373737373,-1.0,1692
phase2,shot-noise,baseline,40,4,cobyla,-0.8383838383838383,-0.9797979797979798,197
phase2,shot-noise,baseline,40,4,qnspsa,-0.9191919191919192,-1.0,300
phase2,shot-noise,baseline,40,8,cobyla,-0.6161616161616161,-0.8585858585858586,544
phase2,shot-noise,baseline,40,8,qnspsa,-1.0,-1.0,711
phase2,shot-noise,baseline,50,16,cobyla,-0.7777777777777778,-0.9595959595959596,1359
phase2,shot-noise,baseline,50,16,qnspsa,-0.6161616161616161,-0.9191919191919192,1692
phase2,shot-noise,baseline,50,4,cobyla,-0.8787878787878788,-0.9393939393939394,201
phase2,shot-noise,baseline,50,4,qnspsa,-0.9595959595959596,-1.0,300
phase2,shot-noise,baseline,50,8,cobyla,-0.8787878787878788,-1.0,516
phase2,shot-noise,baseline,50,8,qnspsa,-0.9595959595959596,-1.0,711
phase2,ideal,qcnn,10,16,cobyla,-0.9999999983488232,-1.000000000000006,1143
phase2,ideal,qcnn,10,16,qnspsa,-0.9939224220485734,-1.0000000000000095,1161
phase2,ideal,qcnn,10,4,cobyla,-0.9999999966306607,-0.9999999999999931,177
phase2,ideal,qcnn,10,4,qnspsa,-0.9911113980221123,-0.9999999999999843,240
phase2,ideal,qcnn,10,8,cobyla,-0.9999999954039677,-0.9999999999999999,622
phase2,ideal,qcnn,10,8,qnspsa,-0.9927784995874959,-1.000000000000001,537
phase2,ideal,qcnn,20,16,cobyla,-0.9999999986069217,-1.0000000000000038,1321
phase2,ideal,qcnn,20,16,qnspsa,-0.9939224267276994,-1.000000000000009,1161
phase2,ideal,qcnn,20,4,cobyla,-0.9999999953423206,-0.9999999999999891,173
phase2,ideal,qcnn,20,4,qnspsa,-0.9911085103519075,-0.999999999760588,240
phase2,ideal,qcnn,20,8,cobyla,-0.9999999962994658,-0.9999999999999972,498
phase2,ideal,qcnn,20,8,qnspsa,-0.9927785001468039,-1.000000000000001,537
phase2,ideal,qcnn,30,16,cobyla,-0.9999999952855012,-1.000000000000006,1116
phase2,ideal,qcnn,30,16,qnspsa,-0.9939224216263292,-1.0000000000000102,1161
phase2,ideal,qcnn,30,4,cobyla,-0.9999999984850341,-0.9999999999999989,200
phase2,ideal,qcnn,30,4,qnspsa,-0.9911262725598513,-0.9999999937639542,240
phase2,ideal,qcnn,30,8,cobyla,-0.9999999973612125,-1.0000000000000002,454
phase2,ideal,qcnn,30,8,qnspsa,-0.9927784999034647,-1.0000000000000013,537
phase2,ideal,qcnn,40,16,cobyla,-0.9999999978820232,-1.0000000000000062,1219
phase2,ideal,qcnn,40,16,qnspsa,-0.9939224231402827,-1.0000000000000095,1161
phase2,ideal,qcnn,40,4,cobyla,-0.9999999995256559,-0.999999999797244,161
phase2,ideal,qcnn,40,4,qnspsa,-0.9923159632318719,-0.9999559855199673,240
phase2,ideal,qcnn,40,8,cobyla,-0.9999999971665885,-1.0000000000000007,486
phase2,ideal,qcnn,40,8,qnspsa,-0.9927784984597434,-1.0000000000000007,537
phase2,ideal,qcnn,50,16,cobyla,-0.999999997454064,-1.0000000000000036,1202
phase2,ideal,qcnn,50,16,qnspsa,-0.9939224236527783,-1.0000000000000098,1161
phase2,ideal,qcnn,50,4,cobyla,-0.9999999970798689,-0.9999999999999996,167
phase2,ideal,qcnn,50,4,qnspsa,-0.990899184464775,-0.9999992761295036,240
phase2,ideal,qcnn,50,8,cobyla,-0.9999999955326585,-1.0,474
phase2,ideal,qcnn,50,8,qnspsa,-0.9927785010653623,-1.000000000000001,537
phase2,shot-noise,qcnn,10,16,cobyla,-1.0,-1.0,560
phase2,shot-noise,qcnn,10,16,qnspsa,-0.9797979797979798,-1.0,1161
phase2,shot-noise,qcnn,10,4,cobyla,-1.0,-1.0,146
phase2,shot-noise,qcnn,10,4,qnspsa,-1.0,-1.0,240
